,,,,,,,Misc,,,Approx Val,,,Passing,,,,,Rushing,,,Receiving,,,,,,,
Rnd,Pick,Tm,Player,Pos,Age,To,AP1,PB,St,CarAV,DrAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Tkl,Int,Sk,College/Univ,Year
5,150,TAM,John McLaughlin,DE,23,2000,0,0,0,1,1,18,0,0,0,0,0,0,0,0,0,0,0,,,,California,1999
5,151,TEN,Kevin Daft,QB,,,0,0,0,,,,,,,,,,,,,,,,,,California-Davis,1999
5,152,SEA,Charlie Rogers,RB,23,2003,0,0,0,3,2,67,0,0,0,0,0,0,0,0,1,7,0,6,,,Georgia Tech,1999
5,153,OAK,Roderick Coleman,DT,23,2007,0,1,4,37,13,109,0,0,0,0,0,0,0,0,0,0,0,218,1,58.5,East Carolina,1999
5,154,NWE,Derrick Fletcher,T,23,2005,0,0,0,3,1,21,0,0,0,0,0,0,0,0,0,0,0,,,,Baylor,1999
5,155,ARI,Paris Johnson,DB,,,0,0,0,,,,,,,,,,,,,,,,,,Miami (OH),1999
5,156,BUF,Jay Foreman,LB,23,2006,0,0,4,29,7,84,0,0,0,0,0,0,0,0,0,0,0,367,,4.5,Nebraska,1999
5,157,SFO,Terry Jackson,FB,23,2005,0,0,0,6,6,100,0,0,0,0,0,70,331,2,51,351,3,58,,,Florida,1999
5,158,DEN,David Bowens,DE,22,2010,0,0,2,30,1,167,0,0,0,0,0,0,0,0,0,0,0,227,4,38.5,West. Illinois,1999
5,159,GNB,De'Mond Parker,RB,22,2000,0,0,0,2,2,19,0,0,0,0,0,54,269,2,13,65,0,,,,Oklahoma,1999
5,160,JAX,Jason Craft,DB,23,2008,0,0,1,25,17,148,0,0,0,0,0,0,0,0,0,0,0,350,14,4,Colorado St.,1999
5,161,SFO,Tyrone Hopson,G,23,2004,0,0,0,3,1,23,0,0,0,0,0,0,0,0,0,0,0,,,,East. Kentucky,1999
5,162,NYJ,Jermaine Jones,DB,23,2002,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,,,,NW State (LA),1999
5,163,GNB,Craig Heimburger,G,22,2001,0,0,0,1,0,13,0,0,0,0,0,0,0,0,0,0,0,,,,Missouri,1999
5,164,ATL,Eugene Baker,WR,23,2004,0,0,0,1,1,8,0,0,0,0,0,0,0,0,7,118,0,,,,Kent St.,1999
5,165,WAS,Derek Smith,T,,,0,0,0,,,,,,,,,,,,,,,,,,Virginia Tech,1999
5,166,PIT,Malcolm Johnson,WR,22,2000,0,0,0,0,0,11,0,0,0,0,0,0,0,0,2,23,0,,,,Notre Dame,1999
5,167,DEN,Darwin Brown,DB,,,0,0,0,,,,,,,,,,,,,,,,,,Texas Tech,1999
5,168,ARI,Yusuf Scott,G,22,2001,0,0,0,1,1,24,0,0,0,0,0,0,0,0,0,0,0,,,,Arizona,1999
5,169,MIN,Chris Jones,LB,,,0,0,0,,,,,,,,,,,,,,,,,,Clemson,1999
6,170,SEA,Steve Johnson,DB,,,0,0,0,,,,,,,,,,,,,,,,,,Tennessee,1999
6,171,SFO,Tai Streets,WR,22,2004,0,0,3,21,20,78,0,0,0,0,0,1,0,0,196,2268,14,10,,,Michigan,1999
6,172,PHI,Cecil Martin,FB,24,2003,0,0,2,5,5,61,0,0,0,0,0,26,103,0,81,491,2,3,,,Wisconsin,1999
6,173,CIN,Kelly Gregg,NT,22,2011,0,0,9,66,,153,0,0,0,0,0,0,0,0,0,0,0,381,,20.5,Oklahoma,1999
6,174,CLE,Marcus Spriggs,DT,23,2000,0,0,0,2,2,18,0,0,0,0,0,0,0,0,0,0,0,17,,2,Troy,1999
6,175,CAR,Robert Daniel,DE,,,0,0,0,,,,,,,,,,,,,,,,,,,1999
6,176,STL,Lionel Barnes,DE,23,2004,0,0,0,3,0,27,0,0,0,0,0,0,0,0,0,0,0,16,,2,La-Monroe,1999
6,177,DET,Clint Kriewaldt,LB,23,2007,0,0,0,11,4,123,0,0,0,0,0,0,0,0,0,0,0,106,2,0.5,Wisc-Stevens Point,1999
6,178,SDG,Tyrone Bell,DB,24,1999,0,0,0,0,,1,0,0,0,0,0,0,0,0,0,0,0,,,,North Alabama,1999
6,179,DEN,Desmond Clark,TE,22,2010,0,0,6,27,8,162,0,0,0,0,0,0,0,0,323,3591,27,18,,,Wake Forest,1999
6,180,NWE,Marcus Washington,DB,,,0,0,0,,,,,,,,,,,,,,,,,,Colorado,1999
6,181,WAS,Jeff Hall,K,23,2000,0,0,0,1,,3,0,0,0,0,0,0,0,0,0,0,0,,,,Tennessee,1999
6,182,JAX,Emarlos Leroy,DT,24,2000,0,0,0,2,2,22,0,0,0,0,0,0,0,0,0,0,0,7,,,Georgia,1999
6,183,NYJ,Marc Megna,LB,23,2000,0,0,0,0,,6,0,0,0,0,0,0,0,0,0,0,0,,,,Richmond,1999
6,184,CHI,Rashard Cook,DB,22,2002,0,0,0,5,,47,0,0,0,0,0,0,0,0,0,0,0,30,2,3,USC,1999
6,185,MIN,Talance Sawyer,DE,23,2003,0,0,2,13,13,39,0,0,0,0,0,0,0,0,0,0,0,62,1,11,UNLV,1999
6,186,TEN,Darran Hall,WR,,,0,0,0,,,,,,,,,,,,,,,,,,Colorado St.,1999
6,187,CLE,Kendall Ogle,LB,23,1999,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,,,,Maryland,1999
6,188,OAK,Daren Yancey,DT,,,0,0,0,,,,,,,,,,,,,,,,,,BYU,1999
